Contact Report
Created On:,"Nov 01, 2022"
Message type:,All
Schools:,SPL9 School District 99-3 R 10/39
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Status:,All
Recipient type:,All
""
Recipient Name,Regarding,Grd,School,Status,Date/Time,Destination,Sender
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022 12:13AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022 12:13AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,Email sent,10/28/2022 12:14AM EDT,thomas.lane@parentlink.net,"Support, Parlant Technology"
"John, Xavier","Miscellaneous - Manish, Lucas",10,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"John, Xavier","Miscellaneous - Manish, Lucas",10,Springfield Elementary,Email sent,10/27/2022  8:33AM EDT,poornima.sridharan@blackboard.com,
"John, Xavier","Miscellaneous - Manish, Lucas",10,Springfield Elementary,Answering machine,10/27/2022  8:35AM EDT,+12029813253,
"John, Xavier","Miscellaneous - Manish, Lucas",10,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"John, Xavier","Miscellaneous - Manish, Lucas",10,Springfield Elementary,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"John, Xavier","Miscellaneous - Manish, Lucas",10,Springfield Elementary,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:33AM EDT,poornima.sridharan@blackboard.com,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Delivered,10/27/2022  8:35AM EDT,+12029813253,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Answering machine,10/27/2022  8:35AM EDT,+12029813253,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Kabilan, Tiffany",Miscellaneous,,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Kabilan, Tiffany",Miscellaneous,,,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Kabilan, Tiffany",Miscellaneous,10,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no email address,10/28/2022  7:50AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no email address,10/28/2022  7:52AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022 12:13AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no email address,10/28/2022 12:13AM EDT,,Parlant Technology Support
"kanna, rajesh",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022 12:13AM EDT,,Parlant Technology Support
"Mac, Joe","Miscellaneous - Manish, Elena",5,Springfield Elementary,Delivered,10/27/2022  8:33AM EDT,+12029813253,
"Mac, Joe","Miscellaneous - Manish, Elena",5,Springfield Elementary,Email sent,10/27/2022  8:33AM EDT,poornima.sridharan@blackboard.com,
"Mac, Joe","Miscellaneous - Manish, Elena",5,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:35AM EDT,+12029813253,
"Mac, Joe","Miscellaneous - Manish, Elena",5,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Mac, Joe","Miscellaneous - Manish, Elena",5,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Mac, Joe","Miscellaneous - Manish, Elena",5,Springfield Elementary,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Manish, Ava",Miscellaneous,8,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Manish, Ava",Miscellaneous,8,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:35AM EDT,+12029813253,
"Manish, Ava",Miscellaneous,,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Ava",Miscellaneous,,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Ava",Miscellaneous,,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Ava",Miscellaneous,,,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Manish, Elena",Miscellaneous,,,Delivered,10/27/2022  8:33AM EDT,+12029813253,
"Manish, Elena",Miscellaneous,,,Delivered,10/27/2022  8:33AM EDT,+12029813253,
"Manish, Elena",Miscellaneous,,,Delivered,10/27/2022  8:33AM EDT,+12029813253,
"Manish, Elena",Miscellaneous,,,Delivered,10/27/2022  8:33AM EDT,+12029813253,
"Manish, Elena",Miscellaneous,,,Email sent,10/27/2022  8:33AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Elena",Miscellaneous,,,Email sent,10/27/2022  8:33AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Elena",Miscellaneous,,,Email sent,10/27/2022  8:33AM EDT,poornima.sridharan@blackboard.com,
"Manish, Elena",Miscellaneous,,,Email sent,10/27/2022  8:33AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Elena",Miscellaneous,5,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Manish, Elena",Miscellaneous,5,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:35AM EDT,+12029813253,
"Manish, Elena",Miscellaneous,,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Elena",Miscellaneous,,,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Manish, Lucas",Miscellaneous,,,Email sent,10/27/2022  8:33AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Lucas",Miscellaneous,,,Email sent,10/27/2022  8:33AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Lucas",Miscellaneous,,,Email sent,10/27/2022  8:33AM EDT,poornima.sridharan@blackboard.com,
"Manish, Lucas",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Manish, Lucas",Miscellaneous,10,Springfield Elementary,Delivered,10/27/2022  8:35AM EDT,+12029813253,
"Manish, Lucas",Miscellaneous,,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Lucas",Miscellaneous,,,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Manish, Lucas",Miscellaneous,,,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"Manish, Lucas",Miscellaneous,,,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"Manish, Lucas",Miscellaneous,,,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"Manish, Saisha","Miscellaneous - Manish, Elena",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Saisha","Miscellaneous - Manish, Elena",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Saisha","Miscellaneous - Manish, Lucas",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Saisha","Miscellaneous - Manish, Ava",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029248722,
"Manish, Saisha","Miscellaneous - Manish, Lucas",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029248722,
"Manish, Saisha","Miscellaneous - Manish, Elena",,,Delivered,10/27/2022  8:22AM EDT,+12029248722,
"Manish, Saisha","Miscellaneous - Manish, Elena",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Saisha","Miscellaneous - Manish, Lucas",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Saisha","Miscellaneous - Manish, Elena",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Saisha","Miscellaneous - Manish, Ava",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Saisha","Miscellaneous - Manish, Lucas",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Saisha","Miscellaneous - Manish, Elena",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Tarun","Miscellaneous - Manish, Elena",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Tarun","Miscellaneous - Manish, Elena",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Tarun","Miscellaneous - Manish, Lucas",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Manish, Tarun","Miscellaneous - Manish, Ava",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029248722,
"Manish, Tarun","Miscellaneous - Manish, Lucas",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029248722,
"Manish, Tarun","Miscellaneous - Manish, Elena",,,Delivered,10/27/2022  8:22AM EDT,+12029248722,
"Manish, Tarun","Miscellaneous - Manish, Lucas",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Tarun","Miscellaneous - Manish, Elena",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Tarun","Miscellaneous - Manish, Lucas",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Tarun","Miscellaneous - Manish, Ava",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Tarun","Miscellaneous - Manish, Elena",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Manish, Tarun","Miscellaneous - Manish, Elena",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Mohit, Jesse","Miscellaneous - Mohit, Jubal",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Mohit, Jesse","Miscellaneous - Mohit, Jubal",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Mohit, Jesse","Miscellaneous - Mohit, Jubal",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029248722,
"Mohit, Jesse","Miscellaneous - Mohit, Jubal",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Mohit, Jesse","Miscellaneous - Mohit, Jubal",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Mohit, Jesse","Miscellaneous - Mohit, Jubal",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:33AM EDT,poornima.sridharan@blackboard.com,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Delivered,10/27/2022  8:35AM EDT,+12029813253,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Answering machine,10/27/2022  8:35AM EDT,+12029813253,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,poornima.sridharan@blackboard.com,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Mohit, Jubal",Miscellaneous,,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Mohit, Jubal",Miscellaneous,,,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Email sent,10/27/2022  8:22AM EDT,poornima.sridharan@blackboard.com,
"Mohit, Jubal",Miscellaneous,10,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"Mohit, Steve","Miscellaneous - Mohit, Jubal",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Mohit, Steve","Miscellaneous - Mohit, Jubal",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Mohit, Steve","Miscellaneous - Mohit, Jubal",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029248722,
"Mohit, Steve","Miscellaneous - Mohit, Jubal",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Mohit, Steve","Miscellaneous - Mohit, Jubal",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Mohit, Steve","Miscellaneous - Mohit, Jubal",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  5:46AM EDT,,Parlant Technology Support
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  5:46AM EDT,,Parlant Technology Support
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,Delivered - Email accepted by provider,10/28/2022  5:47AM EDT,fatimapriya.medabalini@blackboard.com,"Support, Parlant Technology"
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,Delivered - Email accepted by provider,10/28/2022  7:51AM EDT,fatimapriya.medabalini@blackboard.com,"Support, Parlant Technology"
"n12, pp",Miscellaneous,,SPL9 School District 99-3 R 10/39,Delivered - Email accepted by provider,10/28/2022  7:53AM EDT,fatimapriya.medabalini@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  1:11AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/25/2022  1:11AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Sent,10/25/2022  1:12AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/25/2022  1:22AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  1:22AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Sent,10/25/2022  1:22AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Received,10/25/2022  1:43AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/25/2022  1:30AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  1:30AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered,10/25/2022  2:06AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Received,10/25/2022  2:07AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  2:06AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Sent,10/25/2022  5:20AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  5:19AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/25/2022  5:19AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Sent,10/25/2022  5:41AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/25/2022  5:40AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  5:40AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Received,10/25/2022  3:18PM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  3:16PM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered,10/25/2022  3:16PM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/25/2022  3:33PM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  3:33PM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Received,10/25/2022  3:36PM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/25/2022  4:12PM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Message passed to SMS provider,10/25/2022  4:12PM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/25/2022  4:12PM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Answering machine,10/26/2022  5:11AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Email sent,10/26/2022  5:11AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,,Delivered - Text Message Received,10/26/2022  5:12AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,Automation Org - Do Not Delete,Email sent,10/26/2022  5:31AM EDT,poornima.sridharan@blackboard.com,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,Automation Org - Do Not Delete,Answering machine,10/26/2022  5:31AM EDT,+12029813253,"Support, Parlant Technology"
"Option, AutomationTest_Edit",Miscellaneous,,Automation Org - Do Not Delete,Delivered - Text Message Received,10/26/2022  5:33AM EDT,+12029813253,"Support, Parlant Technology"
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  2:34AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  2:35AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  2:42AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  6:54AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  6:56AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  6:57AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  6:58AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/28/2022  7:44AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  7:04AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/28/2022  7:44AM EDT,,Parlant Technology Support
"parent, r",Miscellaneous,,SPL9 School District 99-3 R 10/39,Mobile/Web access,10/23/2022  7:10AM EDT,,Parlant Technology Support
